ArtistId,ArtistName,AlbumTitle,TrackName,TotalPrice,InvoiceLineId,InvoiceId,InvoiceDate
2,Accept,Balls to the Wall,Balls to the Wall,0.99,1,1,2009-01-01 00:00:00
2,Accept,Restless and Wild,Restless and Wild,0.99,2,1,2009-01-01 00:00:00
1,AC/DC,For Those About To Rock We Salute You,Put The Finger On You,0.99,3,2,2009-01-02 00:00:00
1,AC/DC,For Those About To Rock We Salute You,Inject The Venom,0.99,4,2,2009-01-02 00:00:00
1,AC/DC,For Those About To Rock We Salute You,Evil Walks,0.99,5,2,2009-01-02 00:00:00
1,AC/DC,For Those About To Rock We Salute You,Breaking The Rules,0.99,6,2,2009-01-02 00:00:00
1,AC/DC,Let There Be Rock,Dog Eat Dog,0.99,7,3,2009-01-03 00:00:00
1,AC/DC,Let There Be Rock,Overdose,0.99,8,3,2009-01-03 00:00:00
3,Aerosmith,Big Ones,Love In An Elevator,0.99,9,3,2009-01-03 00:00:00
3,Aerosmith,Big Ones,Janie's Got A Gun,0.99,10,3,2009-01-03 00:00:00
3,Aerosmith,Big Ones,Deuces Are Wild,0.99,11,3,2009-01-03 00:00:00
3,Aerosmith,Big Ones,Angel,0.99,12,3,2009-01-03 00:00:00
4,Alanis Morissette,Jagged Little Pill,Right Through You,0.99,13,4,2009-01-06 00:00:00
4,Alanis Morissette,Jagged Little Pill,Not The Doctor,0.99,14,4,2009-01-06 00:00:00
5,Alice In Chains,Facelift,Bleed The Freak,0.99,15,4,2009-01-06 00:00:00
5,Alice In Chains,Facelift,Confusion,0.99,16,4,2009-01-06 00:00:00
6,Ant�nio Carlos Jobim,Warner 25 Anos,Por Causa De Voc�,0.99,17,4,2009-01-06 00:00:00
6,Ant�nio Carlos Jobim,Warner 25 Anos,Angela,0.99,18,4,2009-01-06 00:00:00
7,Apocalyptica,Plays Metallica By Four Cellos,Master Of Puppets,0.99,19,4,2009-01-06 00:00:00
7,Apocalyptica,Plays Metallica By Four Cellos,Welcome Home (Sanitarium),0.99,20,4,2009-01-06 00:00:00
8,Audioslave,Audioslave,Set It Off,0.99,21,4,2009-01-06 00:00:00
8,Audioslave,Out Of Exile,Your Time Has Come,0.99,22,5,2009-01-11 00:00:00
8,Audioslave,Out Of Exile,Dandelion,0.99,23,5,2009-01-11 00:00:00
9,BackBeat,BackBeat Soundtrack,Rock 'N' Roll Music,0.99,24,5,2009-01-11 00:00:00
10,Billy Cobham,The Best Of Billy Cobham,Moon germs,0.99,25,5,2009-01-11 00:00:00
11,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],Super Terrorizer,0.99,26,5,2009-01-11 00:00:00
11,Black Label Society,Alcohol Fueled Brewtality Live! [Disc 2],Heart Of Gold,0.99,27,5,2009-01-11 00:00:00
12,Black Sabbath,Black Sabbath,Evil Woman,0.99,28,5,2009-01-11 00:00:00
12,Black Sabbath,Black Sabbath Vol. 4 (Remaster),Cornucopia,0.99,29,5,2009-01-11 00:00:00
13,Body Count,Body Count,Bowels Of The Devil,0.99,30,5,2009-01-11 00:00:00
13,Body Count,Body Count,Body Count Anthem,0.99,31,5,2009-01-11 00:00:00
14,Bruce Dickinson,Chemical Wedding,Jerusalem,0.99,32,5,2009-01-11 00:00:00
15,Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,When My Left Eye Jumps,0.99,33,5,2009-01-11 00:00:00
16,Caetano Veloso,Prenda Minha,Medita��o,0.99,34,5,2009-01-11 00:00:00
16,Caetano Veloso,Prenda Minha,Esse Cara,0.99,35,5,2009-01-11 00:00:00
17,Chico Buarque,Minha Historia,"Bye, Bye Brasil",0.99,36,6,2009-01-19 00:00:00
17,Chico Buarque,Minha Historia,Atras Da Porta,0.99,37,7,2009-02-01 00:00:00
17,Chico Buarque,Minha Historia,Tatuagem,0.99,38,7,2009-02-01 00:00:00
17,Chico Buarque,Minha Historia,Morena De Angola,0.99,39,8,2009-02-01 00:00:00
17,Chico Buarque,Minha Historia,A Banda,0.99,40,8,2009-02-01 00:00:00
17,Chico Buarque,Minha Historia,Com A��car E Com Afeto,0.99,41,9,2009-02-02 00:00:00
17,Chico Buarque,Minha Historia,Meu Caro Amigo,0.99,42,9,2009-02-02 00:00:00
17,Chico Buarque,Minha Historia,Trocando Em Mi�dos,0.99,43,9,2009-02-02 00:00:00
17,Chico Buarque,Minha Historia,Gota D'�gua,0.99,44,9,2009-02-02 00:00:00
18,Chico Science & Na��o Zumbi,Afrociberdelia,Etnia,0.99,45,10,2009-02-03 00:00:00
18,Chico Science & Na��o Zumbi,Afrociberdelia,Samba Do Lado,0.99,46,10,2009-02-03 00:00:00
18,Chico Science & Na��o Zumbi,Afrociberdelia,Sobremesa,0.99,47,10,2009-02-03 00:00:00
18,Chico Science & Na��o Zumbi,Afrociberdelia,Sangue De Bairro,0.99,48,10,2009-02-03 00:00:00
18,Chico Science & Na��o Zumbi,Afrociberdelia,Amor De Muito,0.99,49,10,2009-02-03 00:00:00
18,Chico Science & Na��o Zumbi,Afrociberdelia,Maracatu At�mico [Trip Hop],0.99,50,10,2009-02-03 00:00:00
18,Chico Science & Na��o Zumbi,Da Lama Ao Caos,Samba Makossa,0.99,51,11,2009-02-06 00:00:00
18,Chico Science & Na��o Zumbi,Da Lama Ao Caos,Lixo Do Mangue,0.99,52,11,2009-02-06 00:00:00
19,Cidade Negra,Ac�stico MTV [Live],Firmamento,0.99,53,11,2009-02-06 00:00:00
19,Cidade Negra,Ac�stico MTV [Live],J� Foi,0.99,54,11,2009-02-06 00:00:00
19,Cidade Negra,Ac�stico MTV [Live],A Cor Do Sol,0.99,55,11,2009-02-06 00:00:00
19,Cidade Negra,Cidade Negra - Hits,Firmamento,0.99,56,11,2009-02-06 00:00:00
19,Cidade Negra,Cidade Negra - Hits,S�bado A Noite,0.99,57,11,2009-02-06 00:00:00
20,Cl�udio Zoli,Na Pista,Linha Do Equador,0.99,58,11,2009-02-06 00:00:00
20,Cl�udio Zoli,Na Pista,Livre Pra Viver,0.99,59,11,2009-02-06 00:00:00
21,Various Artists,Ax� Bahia 2001,Lavadeira,0.99,60,12,2009-02-11 00:00:00
22,Led Zeppelin,BBC Sessions [Disc 1] [Live],Dazed and Confused,0.99,61,12,2009-02-11 00:00:00
22,Led Zeppelin,BBC Sessions [Disc 1] [Live],You Shook Me(2),0.99,62,12,2009-02-11 00:00:00
23,Frank Zappa & Captain Beefheart,Bongo Fury,Man With The Woman Head,0.99,63,12,2009-02-11 00:00:00
21,Various Artists,Carnaval 2001,Leandro De Itaquera 2001,0.99,64,12,2009-02-11 00:00:00
24,Marcos Valle,Chill: Brazil (Disc 1),V�o Sobre o Horizonte,0.99,65,12,2009-02-11 00:00:00
24,Marcos Valle,Chill: Brazil (Disc 1),All Star,0.99,66,12,2009-02-11 00:00:00
6,Ant�nio Carlos Jobim,Chill: Brazil (Disc 2),Tanto Tempo,0.99,67,12,2009-02-11 00:00:00
6,Ant�nio Carlos Jobim,Chill: Brazil (Disc 2),Bumbo Da Mangueira,0.99,68,12,2009-02-11 00:00:00
50,Metallica,Garage Inc. (Disc 1),Die Die My Darling,0.99,69,12,2009-02-11 00:00:00
51,Queen,Greatest Hits II,Radio GA GA,0.99,70,12,2009-02-11 00:00:00
51,Queen,Greatest Hits II,I'm Going Slightly Mad,0.99,71,12,2009-02-11 00:00:00
52,Kiss,Greatest Kiss,Sure Know Something,0.99,72,12,2009-02-11 00:00:00
52,Kiss,Greatest Kiss,God Of Thunder,0.99,73,12,2009-02-11 00:00:00
53,Spyro Gyra,Heart of the Night,Valentino's,0.99,74,13,2009-02-19 00:00:00
53,Spyro Gyra,Heart of the Night,Believe,0.99,75,14,2009-03-04 00:00:00
53,Spyro Gyra,Heart of the Night,As We Sleep,0.99,76,14,2009-03-04 00:00:00
53,Spyro Gyra,Heart of the Night,J Squared,0.99,77,15,2009-03-04 00:00:00
54,Green Day,International Superhits,Maria,0.99,78,15,2009-03-04 00:00:00
54,Green Day,International Superhits,Longview,0.99,79,16,2009-03-05 00:00:00
54,Green Day,International Superhits,Basket Case,0.99,80,16,2009-03-05 00:00:00
54,Green Day,International Superhits,She,0.99,81,16,2009-03-05 00:00:00
54,Green Day,International Superhits,Geek Stink Breath,0.99,82,16,2009-03-05 00:00:00
54,Green Day,International Superhits,Stuck With Me,0.99,83,17,2009-03-06 00:00:00
54,Green Day,International Superhits,Nice Guys Finish Last,0.99,84,17,2009-03-06 00:00:00
54,Green Day,International Superhits,Macy's Day Parade,0.99,85,17,2009-03-06 00:00:00
55,David Coverdale,Into The Light,Don't You Cry,0.99,86,17,2009-03-06 00:00:00
55,David Coverdale,Into The Light,Living On Love,0.99,87,17,2009-03-06 00:00:00
55,David Coverdale,Into The Light,Wherever You May Go,0.99,88,17,2009-03-06 00:00:00
56,Gonzaguinha,Meus Momentos,"Diga L�, Cora��o",0.99,89,18,2009-03-09 00:00:00
56,Gonzaguinha,Meus Momentos,Comportamento Geral,0.99,90,18,2009-03-09 00:00:00
17,Chico Buarque,Minha Historia,Podres Poderes,0.99,91,18,2009-03-09 00:00:00
17,Chico Buarque,Minha Historia,Queixa,0.99,92,18,2009-03-09 00:00:00
57,Os Mutantes,Minha Hist�ria,Ando Meio Desligado,0.99,93,18,2009-03-09 00:00:00
57,Os Mutantes,Minha Hist�ria,Vida De Cachorro,0.99,94,18,2009-03-09 00:00:00
57,Os Mutantes,Minha Hist�ria,Meu Refrigerador N�o Funciona,0.99,95,18,2009-03-09 00:00:00
58,Deep Purple,MK III The Final Concerts [Disc 1],Smoke On The Water,0.99,96,18,2009-03-09 00:00:00
22,Led Zeppelin,Physical Graffiti [Disc 1],Trampled Under Foot,0.99,97,18,2009-03-09 00:00:00
21,Various Artists,Sambas De Enredo 2001,Uni�o Da Ilha,0.99,98,19,2009-03-14 00:00:00
59,Santana,Supernatural,Put Your Lights On,0.99,99,19,2009-03-14 00:00:00
59,Santana,Supernatural,Primavera,0.99,100,19,2009-03-14 00:00:00
37,Ed Motta,The Best of Ed Motta,Seis Da Tarde,0.99,101,19,2009-03-14 00:00:00
